Gender,Height,Weight,BMI Class,age,activity level,TDEE,target calories,recommended meals
Male,161,89,4,18,Lightly Active,2490.47,2090.47,Meal B
Male,179,127,4,21,Moderately Active,3547.56,3147.56,Meal D
Male,172,139,5,33,Sedentary,2766.0,2266.0,Meal B
Male,153,104,5,23,Lightly Active,2593.59,2093.59,Meal B
Male,165,68,2,39,Very Active,2624.16,2624.16,Meal C
Male,172,92,4,39,Moderately Active,2797.75,2397.75,Meal B
Male,182,108,4,39,Lightly Active,2787.81,2387.81,Meal B
Male,179,130,5,54,Very Active,3715.22,3215.22,Meal D
Male,142,71,4,34,Moderately Active,2220.38,1820.38,Meal A
Female,158,153,5,22,Very Active,3875.21,3375.21,Meal D
Male,194,108,3,59,Sedentary,2403.0,2103.0,Meal B
Female,178,107,4,33,Lightly Active,2552.69,2152.69,Meal B
Male,155,57,2,33,Sedentary,1654.5,1654.5,Meal A
Female,151,64,3,46,Lightly Active,1640.03,1340.03,Meal A
Female,181,80,2,35,Sedentary,1914.3,1914.3,Meal A
Female,147,126,5,27,Moderately Active,2918.26,2418.26,Meal B
Female,142,159,5,18,Very Active,3840.71,3340.71,Meal D
Male,165,155,5,28,Lightly Active,3363.59,2863.59,Meal C
Female,146,104,5,36,Lightly Active,2215.81,1715.81,Meal A
Male,157,56,2,31,Very Active,2399.91,2399.91,Meal B
Female,173,82,2,44,Moderately Active,2356.39,2356.39,Meal B
Female,170,102,4,25,Very Active,3098.96,2698.96,Meal C
Female,190,118,4,23,Moderately Active,3241.83,2841.83,Meal C
Female,168,140,5,26,Sedentary,2590.8,2090.8,Meal B
Female,153,78,2,18,Moderately Active,2302.14,2302.14,Meal B
Male,188,123,4,28,Very Active,3915.75,3515.75,Meal D
Female,162,64,2,23,Sedentary,1651.8,1651.8,Meal A
Male,182,104,4,18,Sedentary,2511.0,2111.0,Meal B
Male,194,115,4,35,Sedentary,2631.0,2231.0,Meal B
Female,185,102,3,21,Very Active,3295.18,2995.18,Meal C
Male,178,52,1,32,Lightly Active,2031.56,2331.56,Meal B
Female,192,90,2,18,Sedentary,2218.8,2218.8,Meal B
Male,147,142,5,22,Moderately Active,3462.31,2962.31,Meal C
Male,152,103,5,25,Moderately Active,2883.0,2383.0,Meal B
Female,169,54,2,40,Very Active,2130.81,2130.81,Meal B
Male,178,127,5,43,Moderately Active,3367.38,2867.38,Meal C
Male,165,105,4,22,Sedentary,2371.5,1971.5,Meal A
Female,172,67,2,30,Very Active,2473.65,2473.65,Meal B
Male,140,129,5,23,Lightly Active,2825.62,2325.62,Meal B
Male,141,86,5,38,Lightly Active,2139.84,1639.84,Meal A
Female,172,96,4,18,Very Active,3077.4,2677.4,Meal C
Male,191,96,3,24,Sedentary,2446.5,2146.5,Meal B
Female,147,107,5,29,Moderately Active,2608.26,2108.26,Meal B
Male,197,119,4,23,Moderately Active,3582.44,3182.44,Meal D
Female,162,159,5,40,Very Active,3866.59,3366.59,Meal D
Male,173,139,5,22,Very Active,4081.78,3581.78,Meal D
Male,185,139,5,38,Lightly Active,3246.72,2746.72,Meal C
Female,152,90,4,19,Moderately Active,2470.7,2070.7,Meal B
Male,163,131,5,18,Sedentary,2692.5,2192.5,Meal B
Male,188,141,4,29,Sedentary,2934.0,2534.0,Meal C
Male,189,104,3,43,Moderately Active,3117.44,2817.44,Meal C
Female,165,57,2,25,Sedentary,1578.3,1578.3,Meal A
Male,185,76,2,21,Sedentary,2179.5,2179.5,Meal B
Female,157,110,5,18,Sedentary,2196.3,1696.3,Meal A
Male,179,56,1,50,Lightly Active,1971.41,2271.41,Meal B
Female,186,143,5,29,Very Active,3944.21,3444.21,Meal D
Female,195,104,3,33,Moderately Active,2995.76,2695.76,Meal C
Female,141,126,5,18,Moderately Active,2929.89,2429.89,Meal B
Male,148,141,5,18,Very Active,3881.25,3381.25,Meal D
Female,191,54,0,20,Moderately Active,2282.76,2782.76,Meal C
Female,150,70,4,23,Very Active,2348.59,1948.59,Meal A
Male,170,95,4,35,Moderately Active,2855.88,2455.88,Meal B
Female,153,77,4,30,Sedentary,1698.3,1298.3,Meal A
Male,179,152,5,25,Sedentary,3022.5,2522.5,Meal C
Male,184,157,5,18,Moderately Active,4084.25,3584.25,Meal D
Male,154,112,5,20,Very Active,3428.44,2928.44,Meal C
Male,190,95,3,22,Very Active,3506.06,3206.06,Meal D
Male,154,111,5,35,Lightly Active,2615.94,2115.94,Meal B
Male,182,50,0,41,Lightly Active,1976.56,2476.56,Meal B
Female,181,106,4,24,Lightly Active,2626.59,2226.59,Meal B
Male,144,80,4,30,Moderately Active,2410.25,2010.25,Meal B
Male,168,160,5,27,Moderately Active,3906.0,3406.0,Meal D
Female,179,150,5,36,Very Active,3929.12,3429.12,Meal D
Male,144,108,5,34,Moderately Active,2813.25,2313.25,Meal B
Female,177,96,4,35,Sedentary,2076.3,1676.3,Meal A
Female,185,119,4,29,Lightly Active,2805.34,2405.34,Meal B
Female,163,63,2,22,Sedentary,1653.3,1653.3,Meal A
Male,177,117,4,26,Moderately Active,3334.44,2934.44,Meal C
Male,140,79,5,40,Lightly Active,2021.25,1521.25,Meal A
Female,147,67,4,29,Sedentary,1539.3,1139.3,Meal A
Female,167,58,2,37,Lightly Active,1756.91,1756.91,Meal A
Male,145,108,5,46,Very Active,3038.16,2538.16,Meal C
Male,193,130,4,22,Moderately Active,3721.94,3321.94,Meal D
Female,187,94,3,23,Very Active,3161.49,2861.49,Meal C
Female,183,79,2,21,Sedentary,2001.3,2001.3,Meal B
Female,167,85,4,18,Lightly Active,2258.78,1858.78,Meal A
Male,141,80,5,24,Lightly Active,2153.59,1653.59,Meal A
Female,168,59,2,32,Sedentary,1582.8,1582.8,Meal A
Female,150,84,4,18,Lightly Active,2098.94,1698.94,Meal A
Female,151,67,3,26,Sedentary,1587.3,1287.3,Meal A
Female,170,53,1,41,Sedentary,1471.8,1771.8,Meal A
Female,150,144,5,24,Sedentary,2515.8,2015.8,Meal B
Female,195,104,3,18,Lightly Active,2760.66,2460.66,Meal B
Female,187,121,4,24,Sedentary,2517.3,2117.3,Meal B
Male,149,66,3,45,Moderately Active,2125.44,1825.44,Meal A
Female,188,90,3,36,Very Active,2991.15,2691.15,Meal C
Male,197,125,4,21,Very Active,4107.66,3707.66,Meal D
Female,194,111,3,32,Sedentary,2401.8,2101.8,Meal B
Female,150,60,3,18,Moderately Active,1994.08,1694.08,Meal A
Female,186,127,4,43,Very Active,3547.46,3147.46,Meal D
Male,145,142,5,38,Sedentary,2569.5,2069.5,Meal B
Male,186,118,4,18,Lightly Active,3104.06,2704.06,Meal C
Male,151,114,5,38,Lightly Active,2610.78,2110.78,Meal B
Male,181,78,2,41,Lightly Active,2352.97,2352.97,Meal B
Female,182,143,5,18,Very Active,3995.96,3495.96,Meal D
Male,193,151,5,26,Lightly Active,3562.97,3062.97,Meal D
Female,171,120,5,18,Lightly Active,2774.41,2274.41,Meal B
Female,185,100,3,36,Very Active,3131.31,2831.31,Meal C
Female,151,55,2,37,Moderately Active,1779.01,1779.01,Meal A
Female,180,58,1,18,Very Active,2508.15,2808.15,Meal C
Male,153,70,3,42,Very Active,2503.41,2203.41,Meal B
Female,176,156,5,42,Sedentary,2746.8,2246.8,Meal B
Male,171,147,5,35,Lightly Active,3257.03,2757.03,Meal C
Male,151,82,4,36,Very Active,2740.59,2340.59,Meal B
Female,162,58,2,21,Sedentary,1591.8,1591.8,Meal A
Male,190,50,0,26,Very Active,2695.31,3195.31,Meal D
Male,163,137,5,31,Lightly Active,3078.28,2578.28,Meal C
Female,155,144,5,18,Very Active,3722.12,3222.12,Meal D
Male,184,153,5,18,Moderately Active,4022.25,3522.25,Meal D
Male,145,78,4,25,Sedentary,1879.5,1479.5,Meal A
