Gender,Height,Weight,BMI Class,age,activity level,TDEE,target calories,recommended meals
Male,161,89,4,18,Sedentary,2173.5,1773.5,Meal Plans A
Male,179,127,4,21,Sedentary,2746.5,2346.5,Meal Plans C
Male,172,139,5,33,Very Active,3976.12,3476.12,Meal Plans D
Male,153,104,5,23,Sedentary,2263.5,1763.5,Meal Plans A
Male,165,68,2,39,Moderately Active,2357.94,2357.94,Meal Plans C
Male,172,92,4,39,Sedentary,2166.0,1766.0,Meal Plans A
Male,182,108,4,39,Lightly Active,2787.81,2387.81,Meal Plans C
Male,179,130,5,54,Moderately Active,3338.31,2838.31,Meal Plans D
Male,142,71,4,34,Sedentary,1719.0,1319.0,Meal Plans A
Female,158,153,5,22,Lightly Active,3088.94,2588.94,Meal Plans D
Male,194,108,3,59,Lightly Active,2753.44,2453.44,Meal Plans C
Female,178,107,4,33,Moderately Active,2877.58,2477.58,Meal Plans C
Male,155,57,2,33,Sedentary,1654.5,1654.5,Meal Plans A
Female,151,64,3,46,Sedentary,1431.3,1131.3,Meal Plans A
Female,181,80,2,35,Lightly Active,2193.47,2193.47,Meal Plans C
Female,147,126,5,27,Sedentary,2259.3,1759.3,Meal Plans A
Female,142,159,5,18,Moderately Active,3451.08,2951.08,Meal Plans D
Male,165,155,5,28,Sedentary,2935.5,2435.5,Meal Plans C
Female,146,104,5,36,Moderately Active,2497.83,1997.83,Meal Plans B
Male,157,56,2,31,Lightly Active,1912.97,1912.97,Meal Plans B
Female,173,82,2,44,Very Active,2622.43,2622.43,Meal Plans D
Female,170,102,4,25,Sedentary,2155.8,1755.8,Meal Plans A
Female,190,118,4,23,Moderately Active,3241.83,2841.83,Meal Plans D
Female,168,140,5,26,Very Active,3724.28,3224.28,Meal Plans D
Female,153,78,2,18,Very Active,2562.06,2562.06,Meal Plans D
Male,188,123,4,28,Lightly Active,3121.25,2721.25,Meal Plans D
Female,162,64,2,23,Sedentary,1651.8,1651.8,Meal Plans A
Male,182,104,4,18,Moderately Active,3243.38,2843.38,Meal Plans D
Male,194,115,4,35,Sedentary,2631.0,2231.0,Meal Plans C
Female,185,102,3,21,Sedentary,2292.3,1992.3,Meal Plans B
Male,178,52,1,32,Very Active,2548.69,2848.69,Meal Plans D
Female,192,90,2,18,Lightly Active,2542.38,2542.38,Meal Plans D
Male,147,142,5,22,Moderately Active,3462.31,2962.31,Meal Plans D
Male,152,103,5,25,Moderately Active,2883.0,2383.0,Meal Plans C
Female,169,54,2,40,Sedentary,1482.3,1482.3,Meal Plans A
Male,178,127,5,43,Moderately Active,3367.38,2867.38,Meal Plans D
Male,165,105,4,22,Very Active,3409.03,3009.03,Meal Plans D
Female,172,67,2,30,Lightly Active,1971.75,1971.75,Meal Plans B
Male,140,129,5,23,Moderately Active,3185.25,2685.25,Meal Plans D
Male,141,86,5,38,Sedentary,1867.5,1367.5,Meal Plans A
Female,172,96,4,18,Moderately Active,2765.2,2365.2,Meal Plans C
Male,191,96,3,24,Very Active,3516.84,3216.84,Meal Plans D
Female,147,107,5,29,Sedentary,2019.3,1519.3,Meal Plans A
Male,197,119,4,23,Sedentary,2773.5,2373.5,Meal Plans C
Female,162,159,5,40,Moderately Active,3474.33,2974.33,Meal Plans D
Male,173,139,5,22,Very Active,4081.78,3581.78,Meal Plans D
Male,185,139,5,38,Very Active,4073.16,3573.16,Meal Plans D
Female,152,90,4,19,Lightly Active,2191.75,1791.75,Meal Plans A
Male,163,131,5,18,Moderately Active,3477.81,2977.81,Meal Plans D
Male,188,141,4,29,Moderately Active,3789.75,3389.75,Meal Plans D
Male,189,104,3,43,Very Active,3469.41,3169.41,Meal Plans D
Female,165,57,2,25,Very Active,2268.81,2268.81,Meal Plans C
Male,185,76,2,21,Sedentary,2179.5,2179.5,Meal Plans C
Female,157,110,5,18,Lightly Active,2516.59,2016.59,Meal Plans B
Male,179,56,1,50,Moderately Active,2222.31,2522.31,Meal Plans D
Female,186,143,5,29,Lightly Active,3143.94,2643.94,Meal Plans D
Female,195,104,3,33,Very Active,3333.99,3033.99,Meal Plans D
Female,141,126,5,18,Very Active,3260.68,2760.68,Meal Plans D
Male,148,141,5,18,Moderately Active,3487.5,2987.5,Meal Plans D
